Drug: #;Word;Tag
Drug: 0;triamcin;NAME
;.;NAME
;ace;NAME
;/;NAME
;econazo;O
;paranova;NAME
;10;STRENGTH
;+;STRENGTH
;1;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;g;STRENGTH
;30;PACK
;g;PACK
;creme;FORM
Drug: 1;telfast;NAME
;120;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 2;botox;NAME
;200;STRENGTH
;enheder;STRENGTH
;1;PACK
;stk;PACK
;.;PACK
;pulv;FORM
;.;FORM
;t;FORM
;.;FORM
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opl;FORM
Drug: 3;janumet;NAME
;850;STRENGTH
;+;STRENGTH
;50;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;2;PACK
;care;PACK
;4;PACK
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 4;quetiapin;NAME
;hexal;O
;50;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;depottabletter;FORM
Drug: 5;equasym;NAME
;depot;NAME
;30;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;kap;FORM
;.;FORM
;m;FORM
;.;FORM
;mod;FORM
;.;FORM
;udløs;FORM
;.;FORM
;hård;FORM
Drug: 6;carbidopa;NAME
;/;NAME
;levodopa;O
;fair;O
;-;NAME
;med;O
;100;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 7;zonegran;NAME
;25;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;(;O
;orifarm;O
;);O
;kapsler;FORM
;,;O
;hårde;FORM
Drug: 8;bupremyl;NAME
;5;STRENGTH
;mikrogram;STRENGTH
;/;STRENGTH
;time;STRENGTH
;4;PACK
;stk;PACK
;.;PACK
;depotplastre;FORM
Drug: 9;azzalure;NAME
;125;PACK
;enheder;PACK
;pulv;FORM
;.;FORM
;t;FORM
;.;FORM
;inj;FORM
;.;FORM
;væske;FORM
;,;O
;opl;FORM
Drug: 10;yentreve;NAME
;40;STRENGTH
;mg;STRENGTH
;56;PACK
;stk;PACK
;.;PACK
;enterokapsler;FORM
;,;O
;hårde;FORM
Drug: 11;zarator;NAME
;40;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;filmovertrukne;FORM
;tabl;FORM
;.;FORM
Drug: 12;dipiperon;NAME
;40;STRENGTH
;mg;STRENGTH
;40;PACK
;stk;PACK
;.;PACK
;(;O
;blister;O
;);O
;tabletter;FORM
Drug: 13;pexion;NAME
;400;STRENGTH
;mg;STRENGTH
;100;PACK
;stk;PACK
;.;PACK
;tabletter;FORM
Drug: 14;lokelma;NAME
;10;STRENGTH
;g;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;pulver;FORM
;t;FORM
;.;FORM
;oral;FORM
;susp;FORM
;.;FORM
Drug: 15;rupafin;NAME
;1;STRENGTH
;mg;STRENGTH
;/;STRENGTH
;ml;STRENGTH
;120;PACK
;ml;PACK
;oral;FORM
;opløsning;FORM
Drug: 16;translarna;NAME
;125;STRENGTH
;mg;STRENGTH
;30;PACK
;stk;PACK
;.;PACK
;gran;FORM
;.;FORM
;til;FORM
;oral;FORM
;susp;FORM
;.;FORM
Drug: 17;tafil;NAME
;1;STRENGTH
